-1.3659095652173914e+00	 -4.8122574854582689e+00	 -4.8122573340648600e+00	 1.5139340892034170e-07
-1.3649095652173915e+00	 -4.7882153574583928e+00	 -4.7882152023263425e+00	 1.5513205031680855e-07
-1.3639095652173916e+00	 -4.7644023702349045e+00	 -4.7644022112905819e+00	 1.5894432259244695e-07
-1.3629095652173917e+00	 -4.7408152165343269e+00	 -4.7408150537030158e+00	 1.6283131110128579e-07
-1.3619095652173918e+00	 -4.7174506524315332e+00	 -4.7174504856374204e+00	 1.6679411274367340e-07
-1.3609095652173919e+00	 -4.6943054958211148e+00	 -4.6943053249872770e+00	 1.7083383774263439e-07
-1.3599095652173920e+00	 -4.6713766249516677e+00	 -4.6713764500000652e+00	 1.7495160253844233e-07
-1.3589095652173921e+00	 -4.6486609770015921e+00	 -4.6486607978530543e+00	 1.7914853778222550e-07
-1.3579095652173923e+00	 -4.6261555466950233e+00	 -4.6261553632692367e+00	 1.8342578655961006e-07
-1.3569095652173924e+00	 -4.6038573849565889e+00	 -4.6038571971720934e+00	 1.8778449550893583e-07
-1.3559095652173925e+00	 -4.5817635976037403e+00	 -4.5817634053779095e+00	 1.9222583080846789e-07
-1.3549095652173926e+00	 -4.5598713440754093e+00	 -4.5598711473244427e+00	 1.9675096663007707e-07
-1.3539095652173927e+00	 -4.5381778361958460e+00	 -4.5381776348347573e+00	 2.0136108869195368e-07
-1.3529095652173928e+00	 -4.5166803369724944e+00	 -4.5166801309151028e+00	 2.0605739159407221e-07
-1.3519095652173929e+00	 -4.4953761594268231e+00	 -4.4953759485857399e+00	 2.1084108325908346e-07
-1.3509095652173930e+00	 -4.4742626654570525e+00	 -4.4742624497436712e+00	 2.1571338137960083e-07
-1.3499095652173931e+00	 -4.4533372647317844e+00	 -4.4533370440562638e+00	 2.2067552052362771e-07
-1.3489095652173932e+00	 -4.4325974136135358e+00	 -4.4325971878847934e+00	 2.2572874236459484e-07
-1.3479095652173934e+00	 -4.4120406141112554e+00	 -4.4120403832369570e+00	 2.3087429834589557e-07
-1.3469095652173935e+00	 -4.3916644128609184e+00	 -4.3916641767474651e+00	 2.3611345323359956e-07
-1.3459095652173936e+00	 -4.3714664001333148e+00	 -4.3714661586858297e+00	 2.4144748511645275e-07
-1.3449095652173937e+00	 -4.3514442088681911e+00	 -4.3514439619905065e+00	 2.4687768451769898e-07
-1.3439095652173938e+00	 -4.3315955137339301e+00	 -4.3315952613285802e+00	 2.5240534995418784e-07
-1.3429095652173939e+00	 -4.3119180302119977e+00	 -4.3119177721802044e+00	 2.5803179326544523e-07
-1.3419095652173940e+00	 -4.2924095137053877e+00	 -4.2924092499470481e+00	 2.6375833961367334e-07
-1.3409095652173941e+00	 -4.2730677586703285e+00	 -4.2730674890840037e+00	 2.6958632481921541e-07
-1.3399095652173942e+00	 -4.2538905977705621e+00	 -4.2538903222534659e+00	 2.7551709624873411e-07
-1.3389095652173943e+00	 -4.2348759010535035e+00	 -4.2348756195014889e+00	 2.8155201459156842e-07
-1.3379095652173945e+00	 -4.2160215751476224e+00	 -4.2160212874551704e+00	 2.8769245208337679e-07
-1.3369095652173946e+00	 -4.1973255624804189e+00	 -4.1973252685406246e+00	 2.9393979428249395e-07
-1.3359095652173947e+00	 -4.1787858405163698e+00	 -4.1787855402209351e+00	 3.0029543474086040e-07
-1.3349095652173948e+00	 -4.1604004210142707e+00	 -4.1604001142534859e+00	 3.0676078477398505e-07
-1.3339095652173949e+00	 -4.1421673493033708e+00	 -4.1421670359661045e+00	 3.1333726635551784e-07
-1.3329095652173950e+00	 -4.1240847035777790e+00	 -4.1240843835514651e+00	 3.2002631389360658e-07
-1.3319095652173951e+00	 -4.1061505942085841e+00	 -4.1061502673792143e+00	 3.2682936979000488e-07
-1.3309095652173952e+00	 -4.0883631630731871e+00	 -4.0883628293252920e+00	 3.3374789509821312e-07
-1.3299095652173953e+00	 -4.0707205829013366e+00	 -4.0707202421179742e+00	 3.4078336241805118e-07
-1.3289095652173954e+00	 -4.0532210566373719e+00	 -4.0532207087001204e+00	 3.4793725145476628e-07
-1.3279095652173956e+00	 -4.0358628168182529e+00	 -4.0358624616071879e+00	 3.5521106500624455e-07
-1.3269095652173957e+00	 -4.0186441249668485e+00	 -4.0186437623605409e+00	 3.6260630764672896e-07
-1.3259095652173958e+00	 -4.0015632710001272e+00	 -4.0015629008756246e+00	 3.7012450260220930e-07
-1.3249095652173959e+00	 -3.9846185726517729e+00	 -3.9846181948845865e+00	 3.7776718642135165e-07
-1.3239095652173960e+00	 -3.9678083749088287e+00	 -3.9678079893729223e+00	 3.8553590631096313e-07
-1.3229095652173961e+00	 -3.9511310494619809e+00	 -3.9511306560297612e+00	 3.9343221969190267e-07
-1.3219095652173962e+00	 -3.9345849941691120e+00	 -3.9345845927114040e+00	 4.0145770796584657e-07
-1.3209095652173963e+00	 -3.9181686325316907e+00	 -3.9181682229177386e+00	 4.0961395209038187e-07
-1.3199095652173964e+00	 -3.9018804131837377e+00	 -3.9018799952811816e+00	 4.1790255611573457e-07
-1.3189095652173966e+00	 -3.8857188093929218e+00	 -3.8857183830677906e+00	 4.2632513119755799e-07
-1.3179095652173967e+00	 -3.8696823185735174e+00	 -3.8696818836902125e+00	 4.3488330492280625e-07
-1.3169095652173968e+00	 -3.8537694618108640e+00	 -3.8537690182321458e+00	 4.4357871820110972e-07
-1.3159095652173969e+00	 -3.8379787833970154e+00	 -3.8379783309839923e+00	 4.5241302304432907e-07
